ELE# 1 : 0.25 m
+1.000000e+000 +2.500000e-001 +0.000000e+000 +0.000000e+000 +0.000000e+000 +0.000000e+000 
+0.000000e+000 +1.000000e+000 +0.000000e+000 +0.000000e+000 +0.000000e+000 +0.000000e+000 
+0.000000e+000 +0.000000e+000 +1.000000e+000 +2.500000e-001 +0.000000e+000 +0.000000e+000 
+0.000000e+000 +0.000000e+000 +0.000000e+000 +1.000000e+000 +0.000000e+000 +0.000000e+000 
+0.000000e+000 +0.000000e+000 +0.000000e+000 +0.000000e+000 +1.000000e+000 +2.488739e-001 
+0.000000e+000 +0.000000e+000 +0.000000e+000 +0.000000e+000 +0.000000e+000 +1.000000e+000 
ELE# 2 : 0.25 m
+1.000000e+000 +2.500000e-001 +0.000000e+000 +0.000000e+000 +0.000000e+000 +0.000000e+000 
+0.000000e+000 +1.000000e+000 +0.000000e+000 +0.000000e+000 +0.000000e+000 +0.000000e+000 
+0.000000e+000 +0.000000e+000 +1.000000e+000 +2.500000e-001 +0.000000e+000 +0.000000e+000 
+0.000000e+000 +0.000000e+000 +0.000000e+000 +1.000000e+000 +0.000000e+000 +0.000000e+000 
+0.000000e+000 +0.000000e+000 +0.000000e+000 +0.000000e+000 +1.000000e+000 +2.488739e-001 
+0.000000e+000 +0.000000e+000 +0.000000e+000 +0.000000e+000 +0.000000e+000 +1.000000e+000 
ELE# 3 : 0.3 m
+1.000000e+000 +3.000000e-001 +0.000000e+000 +0.000000e+000 +0.000000e+000 +0.000000e+000 
+0.000000e+000 +1.000000e+000 +0.000000e+000 +0.000000e+000 +0.000000e+000 +0.000000e+000 
+0.000000e+000 +0.000000e+000 +1.000000e+000 +3.000000e-001 +0.000000e+000 +0.000000e+000 
+0.000000e+000 +0.000000e+000 +0.000000e+000 +1.000000e+000 +0.000000e+000 +0.000000e+000 
+0.000000e+000 +0.000000e+000 +0.000000e+000 +0.000000e+000 +1.000000e+000 +2.986487e-001 
+0.000000e+000 +0.000000e+000 +0.000000e+000 +0.000000e+000 +0.000000e+000 +1.000000e+000 
ELE# 4 : 0.3 m
+1.000000e+000 +3.000000e-001 +0.000000e+000 +0.000000e+000 +0.000000e+000 +0.000000e+000 
+0.000000e+000 +1.000000e+000 +0.000000e+000 +0.000000e+000 +0.000000e+000 +0.000000e+000 
+0.000000e+000 +0.000000e+000 +1.000000e+000 +3.000000e-001 +0.000000e+000 +0.000000e+000 
+0.000000e+000 +0.000000e+000 +0.000000e+000 +1.000000e+000 +0.000000e+000 +0.000000e+000 
+0.000000e+000 +0.000000e+000 +0.000000e+000 +0.000000e+000 +1.000000e+000 +2.986487e-001 
+0.000000e+000 +0.000000e+000 +0.000000e+000 +0.000000e+000 +0.000000e+000 +1.000000e+000 
ELE# 5 : 0.4 m
+1.303667e+000 +5.010311e-001 +0.000000e+000 +0.000000e+000 +0.000000e+000 +0.000000e+000 
+6.363529e+000 +3.212726e+000 +0.000000e+000 +0.000000e+000 +0.000000e+000 +0.000000e+000 
+0.000000e+000 +0.000000e+000 +7.242621e-001 +3.079063e-001 +0.000000e+000 +0.000000e+000 
+0.000000e+000 +0.000000e+000 -5.246129e+000 -8.495767e-001 +0.000000e+000 +0.000000e+000 
