Position Linac Beam 
4.0000000000e-01 2.2000000000e+01 2.2000000000e+01 
5.7000000001e-01 1.0880000000e+01 1.0880000000e+01 
1.3000000000e+00 7.7500000000e+00 7.7500000000e+00 
1.4700000000e+00 6.0500000000e+00 6.0500000000e+00 
2.3550000000e+00 1.0700000000e+01 1.0700000000e+01 
2.5250000000e+00 9.8200000000e+00 9.8200000000e+00 
2.6450000000e+00 1.0700000000e+01 1.0700000000e+01 
3.5300000000e+00 1.2900000000e+01 1.2900000000e+01 
3.7000000000e+00 1.1600000000e+01 1.1600000000e+01 
3.8200000000e+00 1.2900000000e+01 1.2900000000e+01 
4.7047000000e+00 1.3300000000e+01 1.3300000000e+01 
4.8747000000e+00 1.1600000000e+01 1.1600000000e+01 
4.9947000001e+00 1.3300000000e+01 1.3300000000e+01 
5.8797000001e+00 1.2700000000e+01 1.2700000000e+01 
6.0497000001e+00 1.1090000000e+01 1.1090000000e+01 
6.1697000001e+00 1.2700000000e+01 1.2700000000e+01 
7.0550000001e+00 1.0800000000e+01 1.0800000000e+01 
7.2250000001e+00 9.9500000000e+00 9.9500000000e+00 
7.3450000001e+00 1.0800000000e+01 1.0800000000e+01 
8.2300000001e+00 1.3400000000e+01 1.3400000000e+01 
8.4000000001e+00 1.2100000000e+01 1.2100000000e+01 
8.5200000001e+00 1.3400000000e+01 1.3400000000e+01 
9.4050000001e+00 1.3250000000e+01 1.3250000000e+01 
9.5750000001e+00 1.1800000000e+01 1.1800000000e+01 
9.6950000001e+00 1.3250000000e+01 1.3250000000e+01 
1.0580000000e+01 9.2000000000e+00 9.2000000000e+00 
1.0750000000e+01 8.8500000000e+00 8.8500000000e+00 
1.0870000000e+01 9.2000000000e+00 9.2000000000e+00 
1.1755000000e+01 1.1400000000e+01 1.1400000000e+01 
1.1925000000e+01 1.0470000000e+01 1.0470000000e+01 
1.2045000000e+01 1.1400000000e+01 1.1400000000e+01 
